 	Label	slice	Saturated	JD_SOBS	JD_UTC	HJD_UTC	BJD_TDB	AIRMASS	ALT_OBJ	CCD-TEMP	EXPTIME	RAOBJ2K	DECOBJ2K	FWHM_Mean	rel_flux_T1	rel_flux_C2	rel_flux_err_T1	rel_flux_err_C2	Source-Sky_T1	N_Src_Pixels_T1	Source_AMag_T1	Peak_T1	N_Sky_Pixels_T1	FWHM_T1	Width_T1	Source-Sky_C2	Source_AMag_C2	Peak_C2	FWHM_C2	Width_C2
36		36.000000	0.000000	2458913.649231	2458913.649926	2458913.650426	NaN	-1.000000	-1.832063	-1.802962	120.000000	5.200110	33.966567	25.619588	1.254117	0.000000	0.002587	0.000000	4553152.768409	753.591016	11.254155	39441.000000	6406.000000	12.797662	12.805566	3630564.275247	11.500000	35568.000000	12.527116	12.558757
37		37.000000	0.000000	2458913.652718	2458913.653413	2458913.653913	NaN	-1.000000	-1.268666	-1.802962	120.000000	5.200070	33.966472	25.187624	1.258400	0.000000	0.002620	0.000000	4529120.893074	755.121366	11.250454	42357.000000	6414.000000	12.479240	12.499235	3599111.747006	11.500000	37682.000000	12.276420	12.287475
38		38.000000	0.000000	2458913.656206	2458913.656901	2458913.657400	NaN	-1.000000	-0.694015	-1.802962	120.000000	5.200029	33.966364	24.447475	1.249815	0.000000	0.002627	0.000000	4485911.545487	754.266558	11.257886	43262.000000	6403.000000	12.007096	12.029828	3589260.654717	11.500000	39063.000000	11.700231	11.766310
39		39.000000	0.000000	2458913.659694	2458913.660388	2458913.660888	NaN	-1.000000	-0.108585	-1.802962	120.000000	5.199988	33.966239	25.370725	1.238324	0.000000	0.002922	0.000000	4418344.589936	963.227912	11.267914	36676.000000	6378.000000	13.243442	13.168757	3568003.777400	11.500000	32494.000000	13.050532	13.085620
40		40.000000	0.000000	2458913.663182	2458913.663876	2458913.664375	NaN	103.311018	0.546666	-1.881263	120.000000	5.199945	33.966097	24.622095	1.224286	0.000000	0.002715	0.000000	4338866.198801	805.005126	11.280293	40818.000000	6540.000000	12.001428	12.015239	3543996.408441	11.500000	35439.000000	11.872038	11.822021
41		41.000000	0.000000	2458913.666669	2458913.667364	2458913.667862	NaN	48.193586	1.153059	-1.802962	120.000000	5.199901	33.965939	23.890253	1.212205	0.000000	0.002533	0.000000	4249406.408871	660.135800	11.291060	42717.000000	6427.000000	11.675333	11.679873	3505519.288657	11.500000	39547.000000	11.483079	11.552689
42		42.000000	0.000000	2458913.670159	2458913.670853	2458913.671351	NaN	30.876009	1.769980	-1.802962	120.000000	5.199857	33.965761	24.330204	1.194812	0.000000	0.002783	0.000000	4206388.050474	856.984896	11.306751	38597.000000	6369.000000	12.528751	12.492271	3520545.277458	11.500000	35155.000000	12.241404	12.242566
43		43.000000	0.000000	2458913.673646	2458913.674341	2458913.674838	NaN	22.416336	2.396374	-1.802962	120.000000	5.199812	33.965564	24.248846	1.177073	0.000000	0.002716	0.000000	4117112.945163	805.899733	11.322991	39323.000000	6424.000000	12.126200	12.134330	3497754.066879	11.500000	35800.000000	12.041287	12.032861
44		44.000000	0.000000	2458913.677133	2458913.677828	2458913.678325	NaN	17.402796	3.032490	-1.802962	120.000000	5.199766	33.965347	23.613989	1.162979	0.000000	0.002658	0.000000	4029809.745539	755.902765	11.336070	40398.000000	6295.000000	11.550565	11.631353	3465074.499020	11.500000	37983.000000	11.428567	11.448226
45		45.000000	0.000000	2458913.680621	2458913.681315	2458913.681812	NaN	14.087727	3.678224	-1.802962	120.000000	5.199718	33.965111	24.084435	1.160061	0.000000	0.002830	0.000000	3979919.660209	855.391066	11.338798	37805.000000	6454.000000	12.338896	12.142326	3430784.621947	11.500000	34955.000000	12.215984	12.221446
46		46.000000	0.000000	2458913.684109	2458913.684803	2458913.685300	NaN	11.734549	4.333388	-1.802962	120.000000	5.199670	33.964850	23.535238	1.138026	0.000000	0.002802	0.000000	3913285.042023	856.885814	11.359620	38597.000000	6386.000000	11.620085	11.638623	3438661.279369	11.500000	37028.000000	11.365956	11.396475
47		47.000000	0.000000	2458913.687595	2458913.688290	2458913.688786	NaN	10.130396	4.997277	-1.802962	120.000000	5.199620	33.964569	22.729162	1.117761	0.000000	0.002512	0.000000	3828134.903656	662.581470	11.379127	44825.000000	6361.000000	11.071714	11.090945	3424823.602238	11.500000	41099.000000	10.851371	10.851476
48		48.000000	0.000000	2458913.691085	2458913.691780	2458913.692275	NaN	9.143013	5.670757	-1.802962	120.000000	5.199570	33.964264	21.885604	1.106283	0.000000	0.002525	0.000000	3760509.407198	659.313184	11.390334	44302.000000	6442.000000	10.645925	10.618923	3399228.308547	11.500000	43386.000000	10.396122	10.369563
49		49.000000	0.000000	2458913.694573	2458913.695268	2458913.695763	NaN	8.313952	6.352550	-1.802962	120.000000	5.199518	33.963933	21.946182	1.091892	0.000000	0.002886	0.000000	3709208.839755	908.632207	11.404551	39518.000000	6489.000000	11.069223	11.055943	3397046.926946	11.500000	37046.000000	10.937538	10.879795
50		50.000000	0.000000	2458913.698062	2458913.698756	2458913.699251	NaN	7.608427	7.042921	-1.802962	120.000000	5.199464	33.963578	21.235916	1.078866	0.000000	0.002694	0.000000	3615179.071044	754.366504	11.417581	44493.000000	6379.000000	10.351147	10.348448	3350906.123197	11.500000	43473.000000	10.174503	10.301323
